Batch_ID,Temperature_C,Humidity_Pct,Operator,Alpha_Concentration,Beta_Concentration,Omega_Resonance
1,22.993428306022466,43.349651645181396,Op_B,46.31774724758908,29.88011348751018,40.721175721178135
2,21.72347139765763,42.091356806688005,Op_C,45.40269268625773,32.20635767260844,37.77297384547064
3,23.295377076201383,52.72860499087273,Op_A,40.57934098437634,31.90099184576697,30.38599092292584
4,25.04605971281605,54.129514529738024,Op_B,54.54013801716768,29.101967511069123,52.84924316059686
5,21.531693250553328,40.63172289651284,Op_C,53.117018021312184,21.218194841807527,57.16437855442755
6,21.53172608610164,58.7242449248738,Op_A,45.51231775511369,30.893253642945176,39.079306273871616
7,25.158425631014783,41.03942567302945,Op_A,42.90621292442139,37.86530183032082,30.747551436280173
8,23.534869458305817,50.825926706021406,Op_A,68.76173413227713,21.956156683977383,77.73310479363994
9,21.061051228130097,54.18121038901833,Op_B,31.19556944875162,25.171074899305275,23.3330985030208
10,23.08512008717193,57.41938247492171,Op_B,54.93172003201721,32.13413487383006,50.28034537376412
11,21.073164614375074,54.281738642648556,Op_C,62.91403548216008,30.192959313661405,63.67360017746973
12,21.068540492859487,56.03456166139584,Op_B,16.131862385117003,32.05591079792145,-3.4924223697323535
13,22.48392454313207,46.78900385085612,Op_B,57.941400600761796,26.50340896086169,59.168060518626454
14,18.173439510684403,56.29650227493025,Op_A,47.79745398503912,35.81229143296153,38.72314844795043
15,18.550164334973935,41.6022969276935,Op_A,52.56054864283259,30.234502828451056,49.524989689129995
16,20.875424941518055,57.89633312121055,Op_A,46.7676203547791,33.484927611715285,39.08465422214553
17,19.974337759331153,50.951847523074726,Op_A,60.75393445646077,31.60138705485548,59.50857168282693
18,22.628494665190548,56.345955399249874,Op_A,53.63119341671357,30.87747483980496,50.34633267366498
19,20.183951848957577,49.046365690366,Op_A,51.31719889534316,33.134168285140646,46.13406414597606
20,19.175392597329417,52.8715539039305,Op_A,41.01139393041407,30.93243976983475,32.66863958915734
21,24.931297537843108,50.52805321872226,Op_C,68.82292233834188,24.04900485952244,77.51686566064038
22,21.54844739902693,54.63179043510664,Op_C,50.09931019733271,35.43678412857982,41.480878822043564
23,22.13505640937585,41.632599640611794,Op_C,72.8980579746046,34.09063643124092,75.14278069113583
24,19.150503627573087,41.207041679811276,Op_C,69.27569385178195,19.46574804321095,81.13891327802332
25,20.911234550949636,44.94206468020293,Op_A,32.21649032734619,26.728998575621613,22.771676409757536
26,22.22184517941973,43.19089360226377,Op_C,43.4505403919731,35.21180231246404,32.65752325483058
27,19.698012845155393,57.435671331844034,Op_A,39.630489940250584,20.865357267610833,38.55524853096017
28,22.751396036691343,44.38427974716089,Op_C,49.51793918512938,34.71783440950372,40.73845665187952
29,20.79872262016239,59.51730511638263,Op_B,51.87164020486162,29.293887321728747,49.280932855259856
30,21.416612500413446,46.737915835422136,Op_C,52.29926467893431,36.70141285166996,43.41107702669539
31,20.796586775541208,43.64235831377398,Op_C,60.54128676018979,29.99426605462268,62.30870925979889
32,25.704556369017876,55.79397014284958,Op_A,64.9358276930887,26.389660035021862,69.06620962559984
33,21.97300555052413,53.17415551001752,Op_C,59.674877492386386,31.540428303795704,57.7060233750793
34,19.8845781420882,49.96391432906278,Op_B,44.39064785776253,29.84807255245007,38.70322451223137
35,23.645089824206377,51.10727101875263,Op_A,42.1797613489256,25.945744329296595,38.22855948473852
36,19.558312700057954,54.384035565445274,Op_A,50.02761835883936,41.091717415056934,37.589892924960665
37,22.41772719000951,44.56909482662597,Op_C,54.26119526404661,25.144509092078426,56.040261622951455
38,18.08065975224045,59.92667832113484,Op_A,48.168086542828775,18.78522312470103,52.11598909623386
39,19.34362790220314,59.49586324293566,Op_A,36.54515163747778,37.90849484060746,20.146870223443106
40,22.393722471738247,53.006513726938735,Op_A,56.820595085768005,27.082182638420367,58.41862854970292
41,23.47693315999082,43.9908490185829,Op_A,46.07685231266097,28.516133695171522,41.05046118879348
42,22.34273656237994,53.60456484862583,Op_A,45.77487265577957,28.210469676854828,41.79589895718961
43,21.768703435223518,41.443968179583514,Op_A,49.45387325941907,27.15174282920837,47.97352767844841
44,21.397792608821423,40.61305004411612,Op_B,47.60101082919839,26.16903764368277,45.64272614391654
45,19.042956019265144,45.15365777022427,Op_C,46.334989444878985,25.015913487515178,44.70418066497453
46,20.560311583210584,49.25245913478633,Op_B,37.19874693066811,30.323798808522827,27.327343603786574
47,21.078722458080424,57.36545010816761,Op_A,48.877525330483415,27.990062211621826,46.26785705173147
48,24.11424445243783,54.543381395326165,Op_A,57.02953791906868,33.65181095166973,51.39693990981956
